101/DT_1B040B3 | 행정구역(시군구)별 주민등록세대수 | 인구 > 주민등록인구현황
680/DT_68001_B000017 | 읍·면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청북도 > 충청북도음성군기본통계 > 인구
681/DT_68101_B000017 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청북도 > 충청북도단양군기본통계 > 인구
691/DT_691007_2022A008 | 세대원수별·읍면동별 아동세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 천안시아동복지통계 > 2022년 > 인구·가구
691/DT_691007_2022A009 | 아동수별·읍면동별 아동세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 천안시아동복지통계 > 2022년 > 인구·가구
691/DT_691007_2024A005 | 세대원수별·읍면동별 아동세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 천안시아동복지통계 > 2024년 > 인구·세대
691/DT_691007_2024A006 | 아동수별·읍면동별 아동세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 천안시아동복지통계 > 2024년 > 인구·세대
692/DT_692_N_201203002 | 읍·면·동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청남도 > 충청남도공주시기본통계 > 인구
693/DT_693004_2023A006 | 세대원수별·읍면동별 아동세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 보령시아동복지통계 > 2023 > 인구‧세대
693/DT_693004_2023A008 | 아동수별·읍면동별 아동세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 보령시아동복지통계 > 2023 > 인구‧세대
693/DT_693005_2021_A010 | 읍면동별 세대주 현황 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 보령시청년통계 > 2021년 > 인구
693/DT_693005_2023_A010 | 읍면동별 세대주 현황 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 보령시청년통계 > 2023년 > 인구
694/DT_69401_B000016 | 읍면동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청남도 > 충청남도아산시기본통계 > 인구
695/DT_695001_B002 | 읍면동별 세대 및 등록인구 | 지역통계 > 지자체 기본통계 > 충청남도 > 충청남도서산시기본통계 > 인구
695/DT_695004_2022A005 | 읍면동별·세대원수별 아동세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 서산시아동복지통계 > 2022년 > 인구ㆍ세대
695/DT_695004_2022A006 | 읍면동별·아동수별 아동세대 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 서산시아동복지통계 > 2022년 > 인구ㆍ세대
696/DT_696004_2020_A008 | 읍면동별 세대주 현황 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 논산시청년통계 > 2020년 > 인구
696/DT_696004_2023_A008 | 읍면동별 세대주 현황 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 논산시청년통계 > 2023년 > 인구
696/DT_696004_2024_A008 | 읍면동별 세대주 현황 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 논산시청년통계 > 2024년 > 인구
697/DT_69702_B000016 | 면·동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청남도 > 충청남도계룡시기본통계 > 인구
700/DT_70001_B000016 | 읍·면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청남도 > 충청남도부여군기본통계 > 인구
703/DT_70301_B000016 | 읍·면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 충청남도 > 충청남도예산군기본통계 > 인구
705/DT_705003_2021A011 | 읍면동별 세대주 현황 | 지역통계 > 인구 및 사회(사회조사 외) > 충청남도 > 당진시청년통계 > 2020년 > 인구·가구
713/DT_71301_B002 | 읍·면·동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 전북특별자치도 > 전북특별자치도익산시기본통계 > 인구
716/DT_716001_B003 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 전북특별자치도 > 전북특별자치도김제시기본통계 > 인구
732/DT_732001_B002 | 읍면동별 세대 및 등록인구 | 지역통계 > 지자체 기본통계 > 전라남도 > 전라남도여수시기본통계 > 인구
732/DT_732001_B002_01 | 읍면동별 세대 및 인구(주민등록)-거소신고인수 | 지역통계 > 지자체 기본통계 > 전라남도 > 전라남도여수시기본통계 > 인구
735/DT_A5020 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 전라남도 > 전라남도광양시기본통계 > 인구
742/DT_74201_B001005 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 전라남도 > 전라남도장흥군기본통계 > 인구
745/DT_74501_B001005 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 전라남도 > 전라남도영암군기본통계 > 인구
748/DT_74801_B001005 | 리별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 전라남도 > 전라남도영광군기본통계 > 인구
761/DT_76101_B001004 | 읍면동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 경상북도 > 포항시기본통계 > 인구
763/DT_76301_B001004 | 읍면동별 세대및 등록인구 | 지역통계 > 지자체 기본통계 > 경상북도 > 경상북도김천시기본통계 > 인구
765/DT_76501_B001004 | 읍·면·동별 세대 및 인구(주민등록인구) | 지역통계 > 지자체 기본통계 > 경상북도 > 경상북도구미시기본통계 > 인구
766/DT_766001_B000001 | 읍면동별 세대 및 인구(거소신고인수) | 지역통계 > 지자체 기본통계 > 경상북도 > 영주시기본통계 > 인구
766/DT_76601_B001004 | 읍면동별 세대 및 등록인구 | 지역통계 > 지자체 기본통계 > 경상북도 > 영주시기본통계 > 인구
768/DT_76801_B001004 | 읍·면·동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 경상북도 > 경상북도상주시기본통계 > 인구
770/DT_770001_B000003 | 세대 및 인구(주민등록)(나.거소신고인수) | 지역통계 > 지자체 기본통계 > 경상북도 > 경산시기본통계 > 인구
770/DT_77001_B001005 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 경상북도 > 경산시기본통계 > 인구
772/DT_77201_B001005 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 경상북도 > 의성군기본통계 > 인구
